joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,distance_ft,Height[ft],feature_type,depth_pct,id_reduction_pct,anomaly_length_in,anomaly_width_in,burst_pressure_psi,clock_position,internal_external,comments,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned
7260.0,40.02,0.344,,26376.92,805.4561,Girth Weld,,,,,,nan,,,2007,Girth Weld_26376.9,False,26376.92,26377.3
,,0.344,-39.13,26416.04,805.8494,Metal Loss-Manufacturing Anomaly,21.0,,3.62,0.59,,3:32,,,2007,Metal Loss-Manufacturing Anomaly_26416.0,True,26416.04,26416.420000000002
7270.0,40.01,0.344,,26416.94,805.8619,Girth Weld,,,,,,nan,,,2007,Girth Weld_26416.9,False,26416.94,26417.32
7280.0,39.87,0.344,,26456.95,806.4409,Girth Weld,,,,,,nan,,,2007,Girth Weld_26457.0,False,26456.95,26457.33
7290.0,39.97,0.344,,26496.81,806.9036,Girth Weld,,,,,,nan,,,2007,Girth Weld_26496.8,False,26496.81,26497.190000000002
7300.0,40.0,0.344,,26536.78,807.4271,Girth Weld,,,,,,nan,,,2007,Girth Weld_26536.8,False,26536.78,26537.16
7310.0,40.04,0.344,,26576.78,808.0914,Girth Weld,,,,,,nan,,,2007,Girth Weld_26576.8,False,26576.78,26577.16
7320.0,40.01,0.344,,26616.82,808.3412,Girth Weld,,,,,,nan,,,2007,Girth Weld_26616.8,False,26616.82,26617.2
7330.0,39.92,0.344,,26656.83,808.3056,Girth Weld,,,,,,nan,,,2007,Girth Weld_26656.8,False,26656.83,26657.210000000003
7340.0,40.0,0.344,,26696.75,808.3504,Girth Weld,,,,,,nan,,,2007,Girth Weld_26696.8,False,26696.75,26697.13
7350.0,40.03,0.344,,26736.75,808.4879,Girth Weld,,,,,,nan,,,2007,Girth Weld_26736.8,False,26736.75,26737.13
7360.0,12.32,0.344,,26776.78,808.5172,Girth Weld,,,,,,nan,,,2007,Girth Weld_26776.8,False,26776.78,26777.16
7370.0,39.89,0.344,,26789.1,808.3001,Girth Weld,,,,,,nan,,,2007,Girth Weld_26789.1,False,26789.1,26789.48
7380.0,39.81,0.344,,26828.99,807.3808,Girth Weld,,,,,,nan,,,2007,Girth Weld_26829.0,False,26828.99,26829.370000000003
,,0.344,-38.59,26867.58,805.9027,Metal Loss,15.0,,1.38,1.5,,7:27,NO,,2007,Metal Loss_26867.6,True,26867.58,26867.960000000003
,,0.344,-38.92,26867.91,805.8889,Metal Loss,14.0,,1.58,2.01,,7:48,NO,,2007,Metal Loss_26867.9,True,26867.91,26868.29
,,0.344,-38.93,26867.93,805.8881,Cluster,31.0,,1.33,11.88,1.85,4:23,NO,,2007,Cluster_26867.9,True,26867.93,26868.31
,,0.344,-39.18,26868.17,805.878,Cluster,22.0,,2.58,2.83,1.81,6:05,NO,,2007,Cluster_26868.2,True,26868.17,26868.55
7390.0,22.77,0.344,,26868.81,805.8513,Girth Weld,,,,,,nan,,,2007,Girth Weld_26868.8,False,26868.81,26869.190000000002
7400.0,40.05,0.344,,26891.58,804.3689,Girth Weld,,,,,,nan,,,2007,Girth Weld_26891.6,False,26891.58,26891.960000000003
,,0.344,-39.0,26930.57,799.6205,Cluster,12.0,,3.12,4.82,,2:11,NO,,2007,Cluster_26930.6,True,26930.57,26930.95
7410.0,13.93,0.5,,26931.62,799.463,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_26931.6,False,26931.62,26932.0
,,,,26938.74,798.3941,Bend,,,,,,nan,,6.1D - 43Â° - Sag,2007,Bend_26938.7,False,26938.74,26939.120000000003
7420.0,29.84,0.344,,26945.55,797.3513,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_26945.5,False,26945.55,26945.93
,,0.344,-0.74,26946.29,797.2376,Metal Loss,25.0,,2.68,0.71,1.79,12:24,NO,,2007,Metal Loss_26946.3,True,26946.29,26946.670000000002
7430.0,31.51,0.344,,26975.39,792.688,Girth Weld,,,,,,nan,,,2007,Girth Weld_26975.4,False,26975.39,26975.77
7440.0,39.81,0.344,,27006.9,790.0582,Girth Weld,,,,,,nan,,,2007,Girth Weld_27006.9,False,27006.9,27007.280000000002
7450.0,39.85,0.344,,27046.71,794.7397,Girth Weld,,,,,,nan,,,2007,Girth Weld_27046.7,False,27046.71,27047.09
7460.0,39.9,0.344,,27086.56,799.7464,Girth Weld,,,,,,nan,,,2007,Girth Weld_27086.6,False,27086.56,27086.940000000002
7470.0,39.98,0.344,,27126.46,803.3708,Girth Weld,,,,,,nan,,,2007,Girth Weld_27126.5,False,27126.46,27126.84
7480.0,40.04,0.344,,27166.44,805.652,Girth Weld,,,,,,nan,,,2007,Girth Weld_27166.4,False,27166.44,27166.82
7490.0,39.99,0.344,,27206.48,806.4011,Girth Weld,,,,,,nan,,,2007,Girth Weld_27206.5,False,27206.48,27206.86
7500.0,29.29,0.344,,27246.47,806.6569,Girth Weld,,,,,,nan,,,2007,Girth Weld_27246.5,False,27246.47,27246.850000000002
7510.0,39.99,0.344,,27275.76,806.8225,Girth Weld,,,,,,nan,,,2007,Girth Weld_27275.8,False,27275.76,27276.14
7520.0,39.97,0.344,,27315.75,806.7654,Girth Weld,,,,,,nan,,,2007,Girth Weld_27315.8,False,27315.75,27316.13
,,0.344,-0.86,27316.61,806.7631,Metal Loss-Manufacturing Anomaly,16.0,,0.91,0.83,,5:54,,,2007,Metal Loss-Manufacturing Anomaly_27316.6,True,27316.61,27316.99
7530.0,39.98,0.344,,27355.73,806.6364,Girth Weld,,,,,,nan,,,2007,Girth Weld_27355.7,False,27355.73,27356.11
7540.0,40.01,0.344,,27395.71,806.5214,Girth Weld,,,,,,nan,,,2007,Girth Weld_27395.7,False,27395.71,27396.09
7550.0,40.01,0.344,,27435.72,806.3636,Girth Weld,,,,,,nan,,,2007,Girth Weld_27435.7,False,27435.72,27436.100000000002
7560.0,40.05,0.344,,27475.73,805.9128,Girth Weld,,,,,,nan,,,2007,Girth Weld_27475.7,False,27475.73,27476.11
7570.0,39.97,0.344,,27515.78,805.5408,Girth Weld,,,,,,nan,,,2007,Girth Weld_27515.8,False,27515.78,27516.16
7580.0,39.97,0.344,,27555.75,805.3013,Girth Weld,,,,,,nan,,,2007,Girth Weld_27555.8,False,27555.75,27556.13
,,0.344,-23.68,27579.43,805.2976,Metal Loss-Manufacturing Anomaly,12.0,,5.24,1.38,,1:21,,,2007,Metal Loss-Manufacturing Anomaly_27579.4,True,27579.43,27579.81
,,0.344,-25.46,27581.21,805.3021,Metal Loss-Manufacturing Anomaly,24.0,,3.9,0.87,,1:09,,,2007,Metal Loss-Manufacturing Anomaly_27581.2,True,27581.21,27581.59
,,0.344,-26.35,27582.11,805.3051,Metal Loss-Manufacturing Anomaly,21.0,,3.42,0.75,,1:04,,,2007,Metal Loss-Manufacturing Anomaly_27582.1,True,27582.11,27582.49
,,0.344,-26.81,27582.56,805.3066,Metal Loss-Manufacturing Anomaly,11.0,,3.46,2.17,,1:01,,,2007,Metal Loss-Manufacturing Anomaly_27582.6,True,27582.56,27582.940000000002
,,0.344,-27.12,27582.88,805.3076,Metal Loss-Manufacturing Anomaly,21.0,,3.39,0.75,,1:15,,,2007,Metal Loss-Manufacturing Anomaly_27582.9,True,27582.88,27583.260000000002
7590.0,40.05,0.344,,27595.72,805.3573,Girth Weld,,,,,,nan,,,2007,Girth Weld_27595.7,False,27595.72,27596.100000000002
7600.0,40.06,0.344,,27635.77,805.579,Girth Weld,,,,,,nan,,,2007,Girth Weld_27635.8,False,27635.77,27636.15
7610.0,40.08,0.344,,27675.83,805.8754,Girth Weld,,,,,,nan,,,2007,Girth Weld_27675.8,False,27675.83,27676.210000000003
7620.0,39.98,0.344,,27715.9,806.2001,Girth Weld,,,,,,nan,,,2007,Girth Weld_27715.9,False,27715.9,27716.280000000002
7630.0,40.14,0.344,,27755.88,806.3842,Girth Weld,,,,,,nan,,,2007,Girth Weld_27755.9,False,27755.88,27756.260000000002
7640.0,40.03,0.344,,27796.02,806.3881,Girth Weld,,,,,,nan,,,2007,Girth Weld_27796.0,False,27796.02,27796.4
7650.0,39.88,0.344,,27836.05,806.2223,Girth Weld,,,,,,nan,,,2007,Girth Weld_27836.0,False,27836.05,27836.43
7660.0,39.91,0.344,,27875.93,806.0222,Girth Weld,,,,,,nan,,,2007,Girth Weld_27875.9,False,27875.93,27876.31
,,0.344,-16.37,27892.3,805.9289,Metal Loss-Manufacturing Anomaly,10.0,,3.23,1.06,,8:17,,,2007,Metal Loss-Manufacturing Anomaly_27892.3,True,27892.3,27892.68
7670.0,39.74,0.344,,27915.84,805.5067,Girth Weld,,,,,,nan,,,2007,Girth Weld_27915.8,False,27915.84,27916.22
,,0.344,-28.97,27944.8,803.8386,Metal Loss-Manufacturing Anomaly,20.0,,1.06,1.18,,10:04,,,2007,Metal Loss-Manufacturing Anomaly_27944.8,True,27944.8,27945.18
7680.0,13.17,0.5,,27955.58,803.0959,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_27955.6,False,27955.58,27955.960000000003
,,,,27962.1,802.5301,Bend,,,,,,nan,,5.9D - 42Â° - Sag,2007,Bend_27962.1,False,27962.1,27962.48
7690.0,39.96,0.344,,27968.75,801.8564,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_27968.8,False,27968.75,27969.13
7700.0,39.98,0.344,,28008.71,796.9964,Girth Weld,,,,,,nan,,,2007,Girth Weld_28008.7,False,28008.71,28009.09
,,0.344,-18.8,28027.51,795.4539,Metal Loss-Manufacturing Anomaly,10.0,,0.43,0.71,,7:02,,,2007,Metal Loss-Manufacturing Anomaly_28027.5,True,28027.51,28027.89
7710.0,20.53,0.344,,28048.69,797.7941,Girth Weld,,,,,,nan,,,2007,Girth Weld_28048.7,False,28048.69,28049.07
7720.0,39.99,0.344,,28069.22,799.2571,Girth Weld,,,,,,nan,,,2007,Girth Weld_28069.2,False,28069.22,28069.600000000002
7730.0,39.92,0.344,,28109.2,799.797,Girth Weld,,,,,,nan,,,2007,Girth Weld_28109.2,False,28109.2,28109.58
7740.0,39.99,0.344,,28149.12,798.8763,Girth Weld,,,,,,nan,,,2007,Girth Weld_28149.1,False,28149.12,28149.5
7750.0,32.58,0.344,,28189.11,797.232,Girth Weld,,,,,,nan,,,2007,Girth Weld_28189.1,False,28189.11,28189.49
,,0.344,-17.92,28207.03,796.3722,Metal Loss-Manufacturing Anomaly,17.0,,4.33,1.42,,10:31,,,2007,Metal Loss-Manufacturing Anomaly_28207.0,True,28207.03,28207.41
7760.0,40.08,0.344,,28221.69,795.6374,Girth Weld,,,,,,nan,,,2007,Girth Weld_28221.7,False,28221.69,28222.07
7770.0,32.85,0.344,,28261.77,793.6672,Girth Weld,,,,,,nan,,,2007,Girth Weld_28261.8,False,28261.77,28262.15
7780.0,39.91,0.344,,28294.62,792.1478,Girth Weld,,,,,,nan,,,2007,Girth Weld_28294.6,False,28294.62,28295.0
7790.0,40.07,0.344,,28334.54,790.3706,Girth Weld,,,,,,nan,,,2007,Girth Weld_28334.5,False,28334.54,28334.920000000002
7800.0,39.91,0.344,,28374.6,788.4817,Girth Weld,,,,,,nan,,,2007,Girth Weld_28374.6,False,28374.6,28374.98
7810.0,39.91,0.344,,28414.51,786.5029,Girth Weld,,,,,,nan,,,2007,Girth Weld_28414.5,False,28414.51,28414.89
7820.0,39.96,0.344,,28454.42,785.3491,Girth Weld,,,,,,nan,,,2007,Girth Weld_28454.4,False,28454.42,28454.8
7830.0,39.95,0.344,,28494.39,784.2604,Girth Weld,,,,,,nan,,,2007,Girth Weld_28494.4,False,28494.39,28494.77
7840.0,39.95,0.344,,28534.33,783.1833,Girth Weld,,,,,,nan,,,2007,Girth Weld_28534.3,False,28534.33,28534.710000000003
7850.0,40.0,0.344,,28574.28,781.7674,Girth Weld,,,,,,nan,,,2007,Girth Weld_28574.3,False,28574.28,28574.66
7860.0,39.97,0.344,,28614.29,779.8753,Girth Weld,,,,,,nan,,,2007,Girth Weld_28614.3,False,28614.29,28614.670000000002
7870.0,39.85,0.344,,28654.26,778.9943,Girth Weld,,,,,,nan,,,2007,Girth Weld_28654.3,False,28654.26,28654.64
7880.0,39.99,0.344,,28694.11,778.764,Girth Weld,,,,,,nan,,,2007,Girth Weld_28694.1,False,28694.11,28694.49
7890.0,40.0,0.344,,28734.1,779.1543,Girth Weld,,,,,,nan,,,2007,Girth Weld_28734.1,False,28734.1,28734.48
7900.0,39.97,0.344,,28774.1,779.5638,Girth Weld,,,,,,nan,,,2007,Girth Weld_28774.1,False,28774.1,28774.48
,,0.344,-8.91,28783.01,779.511,Metal Loss-Manufacturing Anomaly,13.0,,6.3,1.89,,4:47,,,2007,Metal Loss-Manufacturing Anomaly_28783.0,True,28783.01,28783.39
7910.0,40.01,0.344,,28814.06,779.3603,Girth Weld,,,,,,nan,,,2007,Girth Weld_28814.1,False,28814.06,28814.440000000002
,,0.344,-0.61,28814.67,779.3579,Cluster,30.0,,4.73,21.05,1.66,4:06,NO,,2007,Cluster_28814.7,True,28814.67,28815.05
7920.0,40.04,0.344,,28854.07,778.6432,Girth Weld,,,,,,nan,,,2007,Girth Weld_28854.1,False,28854.07,28854.45
7930.0,40.07,0.344,,28894.11,777.7053,Girth Weld,,,,,,nan,,,2007,Girth Weld_28894.1,False,28894.11,28894.49
7940.0,39.93,0.344,,28934.19,776.7905,Girth Weld,,,,,,nan,,,2007,Girth Weld_28934.2,False,28934.19,28934.57
7950.0,40.01,0.344,,28974.12,775.8289,Girth Weld,,,,,,nan,,,2007,Girth Weld_28974.1,False,28974.12,28974.5
7960.0,40.0,0.344,,29014.13,775.5272,Girth Weld,,,,,,nan,,,2007,Girth Weld_29014.1,False,29014.13,29014.510000000002
,,0.344,-38.85,29052.98,775.465,Cluster,42.0,,5.77,42.81,1.5,3:20,NO,,2007,Cluster_29053.0,True,29052.98,29053.36
7970.0,33.36,0.344,,29054.14,775.4662,Girth Weld,,,,,,nan,,,2007,Girth Weld_29054.1,False,29054.14,29054.52
7980.0,40.01,0.344,,29087.49,775.5144,Girth Weld,,,,,,nan,,,2007,Girth Weld_29087.5,False,29087.49,29087.870000000003
7990.0,40.0,0.344,,29127.5,775.1707,Girth Weld,,,,,,nan,,,2007,Girth Weld_29127.5,False,29127.5,29127.88
,,0.344,-0.62,29128.12,775.1613,Cluster,38.0,,3.5,20.36,1.66,3:54,NO,,2007,Cluster_29128.1,True,29128.12,29128.5
,,0.344,-19.04,29146.54,774.8961,Cluster,35.0,,8.46,10.87,1.5,5:29,NO,,2007,Cluster_29146.5,True,29146.54,29146.920000000002
8000.0,39.91,0.344,,29167.5,774.6123,Girth Weld,,,,,,nan,,,2007,Girth Weld_29167.5,False,29167.5,29167.88
,,0.344,-38.99,29206.49,773.7111,Metal Loss,38.0,,2.09,9.8,1.77,7:27,NO,,2007,Metal Loss_29206.5,True,29206.49,29206.870000000003
,,0.344,-39.04,29206.54,773.7098,Metal Loss,17.0,,1.18,5.95,,3:42,NO,,2007,Metal Loss_29206.5,True,29206.54,29206.920000000002
,,0.344,-39.1,29206.61,773.708,Cluster,32.0,,4.13,10.41,1.67,5:14,YES,,2007,Cluster_29206.6,True,29206.61,29206.99
8010.0,39.98,0.344,,29207.41,773.686,Girth Weld,,,,,,nan,,,2007,Girth Weld_29207.4,False,29207.41,29207.79
,,0.344,-0.58,29207.99,773.67,Cluster,21.0,,6.46,3.65,1.7,4:48,NO,,2007,Cluster_29208.0,True,29207.99,29208.370000000003
,,0.344,-0.67,29208.08,773.6676,Cluster,11.0,,4.93,6.08,,6:29,NO,,2007,Cluster_29208.1,True,29208.08,29208.460000000003
,,0.344,-0.72,29208.13,773.6661,Metal Loss,36.0,,4.41,1.18,1.63,5:52,NO,,2007,Metal Loss_29208.1,True,29208.13,29208.510000000002
8020.0,39.98,0.344,,29247.39,772.6113,Girth Weld,,,,,,nan,,,2007,Girth Weld_29247.4,False,29247.39,29247.77
8030.0,40.07,0.344,,29287.37,771.4651,Girth Weld,,,,,,nan,,,2007,Girth Weld_29287.4,False,29287.37,29287.75
8040.0,40.14,0.344,,29327.44,770.5852,Girth Weld,,,,,,nan,,,2007,Girth Weld_29327.4,False,29327.44,29327.82
8050.0,40.1,0.344,,29367.58,769.9023,Girth Weld,,,,,,nan,,,2007,Girth Weld_29367.6,False,29367.58,29367.960000000003
8060.0,40.09,0.344,,29407.68,769.0147,Girth Weld,,,,,,nan,,,2007,Girth Weld_29407.7,False,29407.68,29408.06
,,0.344,-3.26,29410.95,768.9311,Metal Loss,13.0,,1.38,1.06,,5:40,NO,,2007,Metal Loss_29411.0,True,29410.95,29411.33
,,0.344,-7.14,29414.83,768.8315,Cluster,11.0,,4.56,6.12,,5:57,NO,,2007,Cluster_29414.8,True,29414.83,29415.210000000003
,,0.344,-9.95,29417.63,768.759,Cluster,22.0,,6.3,3.35,1.69,5:18,NO,,2007,Cluster_29417.6,True,29417.63,29418.010000000002
,,0.344,-11.84,29419.53,768.7094,Cluster,22.0,,4.18,2.91,1.75,5:17,NO,,2007,Cluster_29419.5,True,29419.53,29419.91
,,0.344,-39.22,29446.91,767.9813,Metal Loss,15.0,,0.91,1.22,,4:57,NO,,2007,Metal Loss_29446.9,True,29446.91,29447.29
,,0.344,-39.24,29446.92,767.9809,Metal Loss,42.0,,1.02,3.86,1.85,8:22,NO,,2007,Metal Loss_29446.9,True,29446.92,29447.3
8070.0,39.97,0.344,,29447.78,767.9575,Girth Weld,,,,,,nan,,,2007,Girth Weld_29447.8,False,29447.78,29448.16
,,0.344,-5.08,29452.86,767.7999,Metal Loss-Manufacturing Anomaly,15.0,,0.55,0.71,,6:28,,,2007,Metal Loss-Manufacturing Anomaly_29452.9,True,29452.86,29453.24
8080.0,40.01,0.344,,29487.75,766.287,Girth Weld,,,,,,nan,,,2007,Girth Weld_29487.8,False,29487.75,29488.13
8090.0,40.0,0.344,,29527.76,765.7541,Girth Weld,,,,,,nan,,,2007,Girth Weld_29527.8,False,29527.76,29528.14
8100.0,39.95,0.344,,29567.76,765.5291,Girth Weld,,,,,,nan,,,2007,Girth Weld_29567.8,False,29567.76,29568.14
8110.0,37.59,0.344,,29607.7,765.3463,Girth Weld,,,,,,nan,,,2007,Girth Weld_29607.7,False,29607.7,29608.08
8120.0,40.16,0.344,,29645.29,765.2116,Girth Weld,,,,,,nan,,,2007,Girth Weld_29645.3,False,29645.29,29645.670000000002
8130.0,12.29,0.5,,29685.45,764.805,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_29685.5,False,29685.45,29685.83
,,,,29691.51,764.7219,Bend,,,,,,nan,,5.9D - 39Â° - Sag,2007,Bend_29691.5,False,29691.51,29691.89
8140.0,40.1,0.344,,29697.75,764.6062,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_29697.8,False,29697.75,29698.13
8150.0,20.06,0.344,,29737.85,761.9936,Girth Weld,,,,,,nan,,,2007,Girth Weld_29737.8,False,29737.85,29738.23
8160.0,34.27,0.344,,29757.91,760.2542,Girth Weld,,,,,,nan,,,2007,Girth Weld_29757.9,False,29757.91,29758.29
8170.0,40.02,0.344,,29792.18,763.8476,Girth Weld,,,,,,nan,,,2007,Girth Weld_29792.2,False,29792.18,29792.56
8180.0,39.97,0.344,,29832.21,765.993,Girth Weld,,,,,,nan,,,2007,Girth Weld_29832.2,False,29832.21,29832.59
8190.0,40.02,0.344,,29872.18,767.5078,Girth Weld,,,,,,nan,,,2007,Girth Weld_29872.2,False,29872.18,29872.56
8200.0,39.99,0.344,,29912.2,768.46,Girth Weld,,,,,,nan,,,2007,Girth Weld_29912.2,False,29912.2,29912.58
8210.0,39.96,0.344,,29952.18,769.0493,Girth Weld,,,,,,nan,,,2007,Girth Weld_29952.2,False,29952.18,29952.56
8220.0,40.02,0.344,,29992.14,769.3607,Girth Weld,,,,,,nan,,,2007,Girth Weld_29992.1,False,29992.14,29992.52
8230.0,39.99,0.344,,30032.16,769.4106,Girth Weld,,,,,,nan,,,2007,Girth Weld_30032.2,False,30032.16,30032.54
8240.0,40.03,0.344,,30072.15,769.3687,Girth Weld,,,,,,nan,,,2007,Girth Weld_30072.2,False,30072.15,30072.530000000002
8250.0,39.81,0.344,,30112.18,769.1585,Girth Weld,,,,,,nan,,,2007,Girth Weld_30112.2,False,30112.18,30112.56
8260.0,40.01,0.344,,30151.99,768.5913,Girth Weld,,,,,,nan,,,2007,Girth Weld_30152.0,False,30151.99,30152.370000000003
8270.0,39.91,0.344,,30192.0,767.7626,Girth Weld,,,,,,nan,,,2007,Girth Weld_30192.0,False,30192.0,30192.38
8280.0,39.92,0.344,,30231.91,766.7417,Girth Weld,,,,,,nan,,,2007,Girth Weld_30231.9,False,30231.91,30232.29
,,0.344,-30.33,30262.24,765.6902,Metal Loss,10.0,,1.26,1.65,,6:20,NO,,2007,Metal Loss_30262.2,True,30262.24,30262.620000000003
,,0.344,-32.09,30264.0,765.6245,Metal Loss,10.0,,1.06,1.14,,4:47,NO,,2007,Metal Loss_30264.0,True,30264.0,30264.38
8290.0,39.78,0.344,,30271.83,765.3241,Girth Weld,,,,,,nan,,,2007,Girth Weld_30271.8,False,30271.83,30272.210000000003
8300.0,39.9,0.344,,30311.61,763.5189,Girth Weld,,,,,,nan,,,2007,Girth Weld_30311.6,False,30311.61,30311.99
8310.0,39.95,0.344,,30351.5,762.2403,Girth Weld,,,,,,nan,,,2007,Girth Weld_30351.5,False,30351.5,30351.88
8320.0,40.02,0.344,,30391.46,761.6713,Girth Weld,,,,,,nan,,,2007,Girth Weld_30391.5,False,30391.46,30391.84
8330.0,39.93,0.344,,30431.48,761.3056,Girth Weld,,,,,,nan,,,2007,Girth Weld_30431.5,False,30431.48,30431.86
8340.0,39.96,0.344,,30471.4,761.7198,Girth Weld,,,,,,nan,,,2007,Girth Weld_30471.4,False,30471.4,30471.780000000002
,,0.344,-0.56,30471.96,761.7262,Cluster,17.0,,4.76,11.46,,6:06,NO,,2007,Cluster_30472.0,True,30471.96,30472.34
8350.0,39.92,0.344,,30511.36,761.8387,Girth Weld,,,,,,nan,,,2007,Girth Weld_30511.4,False,30511.36,30511.74
8360.0,40.01,0.344,,30551.28,761.8228,Girth Weld,,,,,,nan,,,2007,Girth Weld_30551.3,False,30551.28,30551.66
,,0.344,-19.71,30570.99,761.7328,Metal Loss-Manufacturing Anomaly,19.0,,3.31,0.55,,11:29,,,2007,Metal Loss-Manufacturing Anomaly_30571.0,True,30570.99,30571.370000000003
,,0.344,-22.16,30573.44,761.7224,Metal Loss-Manufacturing Anomaly,10.0,,4.17,4.25,,11:38,,,2007,Metal Loss-Manufacturing Anomaly_30573.4,True,30573.44,30573.82
,,0.344,-22.74,30574.03,761.7199,Metal Loss-Manufacturing Anomaly,26.0,,3.66,0.71,,11:51,,,2007,Metal Loss-Manufacturing Anomaly_30574.0,True,30574.03,30574.41
,,0.344,-23.47,30574.76,761.7168,Metal Loss-Manufacturing Anomaly,10.0,,3.11,0.87,,11:36,,,2007,Metal Loss-Manufacturing Anomaly_30574.8,True,30574.76,30575.14
,,0.344,-24.82,30576.1,761.7112,Metal Loss-Manufacturing Anomaly,15.0,,3.58,7.01,,11:33,,,2007,Metal Loss-Manufacturing Anomaly_30576.1,True,30576.1,30576.48
,,0.344,-25.58,30576.86,761.7079,Metal Loss-Manufacturing Anomaly,10.0,,3.23,1.58,,11:42,,,2007,Metal Loss-Manufacturing Anomaly_30576.9,True,30576.86,30577.24
,,0.344,-26.01,30577.29,761.7061,Metal Loss-Manufacturing Anomaly,14.0,,4.02,3.74,,11:30,,,2007,Metal Loss-Manufacturing Anomaly_30577.3,True,30577.29,30577.670000000002
,,0.344,-26.71,30577.99,761.7032,Metal Loss-Manufacturing Anomaly,10.0,,4.13,8.66,,11:20,,,2007,Metal Loss-Manufacturing Anomaly_30578.0,True,30577.99,30578.370000000003
,,0.344,-27.33,30578.61,761.7006,Metal Loss-Manufacturing Anomaly,28.0,,3.94,6.38,,11:28,,,2007,Metal Loss-Manufacturing Anomaly_30578.6,True,30578.61,30578.99
8370.0,39.97,0.344,,30591.29,761.6502,Girth Weld,,,,,,nan,,,2007,Girth Weld_30591.3,False,30591.29,30591.670000000002
8380.0,39.97,0.344,,30631.25,761.5275,Girth Weld,,,,,,nan,,,2007,Girth Weld_30631.2,False,30631.25,30631.63
8390.0,39.93,0.344,,30671.23,761.3539,Girth Weld,,,,,,nan,,,2007,Girth Weld_30671.2,False,30671.23,30671.61
,,0.344,-5.65,30676.87,761.3112,Metal Loss-Manufacturing Anomaly,17.0,,3.03,0.55,,6:24,,,2007,Metal Loss-Manufacturing Anomaly_30676.9,True,30676.87,30677.25
,,0.344,-5.65,30676.88,761.3111,Metal Loss-Manufacturing Anomaly,13.0,,2.79,0.63,,6:34,,,2007,Metal Loss-Manufacturing Anomaly_30676.9,True,30676.88,30677.260000000002
8400.0,28.81,0.344,,30711.15,761.0021,Girth Weld,,,,,,nan,,,2007,Girth Weld_30711.2,False,30711.15,30711.530000000002
8410.0,35.39,0.344,,30739.96,760.7137,Girth Weld,,,,,,nan,,,2007,Girth Weld_30740.0,False,30739.96,30740.34
8420.0,36.59,0.344,,30775.35,760.5204,Girth Weld,,,,,,nan,,,2007,Girth Weld_30775.3,False,30775.35,30775.73
8430.0,39.98,0.344,,30811.94,760.4891,Girth Weld,,,,,,nan,,,2007,Girth Weld_30811.9,False,30811.94,30812.32
8440.0,10.94,0.5,,30851.92,760.7601,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_30851.9,False,30851.92,30852.3
,,,,30857.47,760.8025,Bend,,,,,,nan,,6.2D - 29Â° - Left,2007,Bend_30857.5,False,30857.47,30857.850000000002
8450.0,21.51,0.344,,30862.86,760.8388,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_30862.9,False,30862.86,30863.24
8460.0,39.99,0.344,,30884.37,760.9289,Girth Weld,,,,,,nan,,,2007,Girth Weld_30884.4,False,30884.37,30884.75
8470.0,10.35,0.5,,30924.36,760.828,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_30924.4,False,30924.36,30924.74
,,,,30929.58,760.7593,Bend,,,,,,nan,,5.7D - 29Â° - Right,2007,Bend_30929.6,False,30929.58,30929.960000000003
8480.0,33.68,0.344,,30934.71,760.6891,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_30934.7,False,30934.71,30935.09
8490.0,39.99,0.344,,30968.4,760.2341,Girth Weld,,,,,,nan,,,2007,Girth Weld_30968.4,False,30968.4,30968.780000000002
8500.0,39.9,0.344,,31008.39,759.4888,Girth Weld,,,,,,nan,,,2007,Girth Weld_31008.4,False,31008.39,31008.77
,,0.344,-5.28,31013.67,759.3892,Metal Loss-Manufacturing Anomaly,15.0,,0.47,0.71,,4:16,,,2007,Metal Loss-Manufacturing Anomaly_31013.7,True,31013.67,31014.05
8510.0,40.0,0.344,,31048.29,758.8495,Girth Weld,,,,,,nan,,,2007,Girth Weld_31048.3,False,31048.29,31048.670000000002
8520.0,40.01,0.344,,31088.29,758.4124,Girth Weld,,,,,,nan,,,2007,Girth Weld_31088.3,False,31088.29,31088.670000000002
8530.0,39.89,0.344,,31128.31,758.1301,Girth Weld,,,,,,nan,,,2007,Girth Weld_31128.3,False,31128.31,31128.690000000002
8540.0,39.85,0.344,,31168.2,757.8686,Girth Weld,,,,,,nan,,,2007,Girth Weld_31168.2,False,31168.2,31168.58
8550.0,39.92,0.344,,31208.05,758.4418,Girth Weld,,,,,,nan,,,2007,Girth Weld_31208.0,False,31208.05,31208.43
8560.0,39.94,0.344,,31247.97,759.3994,Girth Weld,,,,,,nan,,,2007,Girth Weld_31248.0,False,31247.97,31248.350000000002
