Joint num,Joint len [ft],t [in],to u/s w. [ft],log dist. [ft],Height [ft],event,depth [%],ID Reduction [%],length [in],width [in],P2 Burst / MOP,o'clock,internal,comment
3470,27.75,0.344,,12553.39,884.9166,Girth Weld,,,,,,,,
3480,40.05,0.344,,12581.14,886.9941,Girth Weld,,,,,,,,
3490,13.26,0.5,,12621.19,889.3023,Girth Weld,,,,,,,,"0.500"""
,,,,12627.69,889.6405,Bend,,,,,,,,6.3D - 36° - Left
3500,28.75,0.344,,12634.45,889.9876,Girth Weld,,,,,,,,"0.344"""
3510,39.86,0.344,,12663.2,891.0695,Girth Weld,,,,,,,,
3520,39.92,0.344,,12703.06,891.7243,Girth Weld,,,,,,,,
3530,39.98,0.344,,12742.98,891.7812,Girth Weld,,,,,,,,
3540,39.97,0.344,,12782.96,890.6279,Girth Weld,,,,,,,,
3550,39.95,0.344,,12822.92,890.2389,Girth Weld,,,,,,,,
3560,39.94,0.344,,12862.87,889.6225,Girth Weld,,,,,,,,
3570,40.03,0.344,,12902.81,888.8835,Girth Weld,,,,,,,,
3580,39.85,0.344,,12942.84,887.4879,Girth Weld,,,,,,,,
3590,35.73,0.344,,12982.69,885.79,Girth Weld,,,,,,,,
3600,39.89,0.344,,13018.42,883.8514,Girth Weld,,,,,,,,
3610,40,0.344,,13058.31,881.4757,Girth Weld,,,,,,,,
3620,39.99,0.344,,13098.3,879.0755,Girth Weld,,,,,,,,
3630,39.99,0.344,,13138.29,876.6822,Girth Weld,,,,,,,,
,,0.344,-0.6,13138.89,876.6469,metal loss,33,,5.51,0.63,1.61,4:05,NO,
,,0.344,-0.61,13138.9,876.646,Cluster,34,,8.47,25.13,1.52,4:35,NO,
,,0.344,-0.82,13139.11,876.6339,metal loss,11,,0.98,1.77,,3:15,NO,
3640,39.94,0.344,,13178.28,874.3668,Girth Weld,,,,,,,,
3650,39.99,0.344,,13218.22,871.9099,Girth Weld,,,,,,,,
3660,39.87,0.344,,13258.21,868.6308,Girth Weld,,,,,,,,
3670,39.96,0.344,,13298.08,864.5027,Girth Weld,,,,,,,,
3680,39.97,0.344,,13338.04,859.0906,Girth Weld,,,,,,,,
3690,15.08,0.5,,13378,853.5816,Girth Weld,,,,,,,,"0.500"""
,,,,13385.85,852.4992,Bend,,,,,,,,6.6D - 43° - Sag
3700,40.02,0.344,,13393.08,851.502,Girth Weld,,,,,,,,"0.344"""
,,0.344,-0.76,13393.85,851.3967,Cluster,14,,2.52,8.15,,11:48,NO,
3710,39.99,0.344,,13433.1,847.2316,Girth Weld,,,,,,,,
3720,39.97,0.344,,13473.1,853.1646,Girth Weld,,,,,,,,
3730,40.02,0.344,,13513.06,858.8295,Girth Weld,,,,,,,,
3740,40.05,0.344,,13553.08,864.0554,Girth Weld,,,,,,,,
3750,37.55,0.344,,13593.14,868.2145,Girth Weld,,,,,,,,
3760,38.88,0.344,,13630.69,871.3712,Girth Weld,,,,,,,,
3770,39.91,0.344,,13669.57,873.693,Girth Weld,,,,,,,,
3780,24.28,0.344,,13709.48,874.4402,Girth Weld,,,,,,,,
3790,39.93,0.344,,13733.76,874.6951,Girth Weld,,,,,,,,
3800,39.99,0.344,,13773.69,873.3893,Girth Weld,,,,,,,,
3810,39.98,0.344,,13813.67,870.7333,Girth Weld,,,,,,,,
,,0.344,-22.51,13836.19,869.0829,metal loss-manufacturing anomaly,14,,0.83,0.87,,10:39,N/A,
3820,40.01,0.344,,13853.66,867.9237,Girth Weld,,,,,,,,
3830,39.95,0.344,,13893.67,865.638,Girth Weld,,,,,,,,
3840,11.27,0.344,,13933.62,863.9765,Girth Weld,,,,,,,,
3850,39.87,0.344,,13944.89,863.7232,Girth Weld,,,,,,,,
3860,27.06,0.344,,13984.76,863.0659,Girth Weld,,,,,,,,
3870,14.7,0.5,,14011.82,862.6895,Girth Weld,,,,,,,,"0.500"""
,,,,14019.21,862.5854,Bend,,,,,,,,6.6D - 41° - Left
3880,12.86,0.344,,14026.52,862.466,Girth Weld,,,,,,,,"0.344"""
3890,40.01,0.344,,14039.38,862.2299,Girth Weld,,,,,,,,
3900,39.97,0.344,,14079.39,860.9956,Girth Weld,,,,,,,,
3910,40.05,0.344,,14119.36,859.7298,Girth Weld,,,,,,,,
3920,14.73,0.5,,14159.41,859.2727,Girth Weld,,,,,,,,"0.500"""
,,,,14166.84,859.2045,Bend,,,,,,,,6.1D - 45° - Right
3930,22.61,0.344,,14174.14,859.1425,Girth Weld,,,,,,,,"0.344"""
3940,40.11,0.344,,14196.75,858.9912,Girth Weld,,,,,,,,
3950,40.23,0.344,,14236.85,859.3376,Girth Weld,,,,,,,,
3960,39.97,0.344,,14277.08,859.5892,Girth Weld,,,,,,,,
3970,39.95,0.344,,14317.04,857.9129,Girth Weld,,,,,,,,
3980,40.01,0.344,,14356.99,854.5966,Girth Weld,,,,,,,,
3990,40,0.344,,14397,850.0425,Girth Weld,,,,,,,,
4000,40.01,0.344,,14437,845.1346,Girth Weld,,,,,,,,
4010,39.95,0.344,,14477.02,841.1681,Girth Weld,,,,,,,,
4020,40.06,0.344,,14516.97,838.8856,Girth Weld,,,,,,,,
4030,39.99,0.344,,14557.02,837.2641,Girth Weld,,,,,,,,
4040,40,0.344,,14597.01,835.1487,Girth Weld,,,,,,,,
4050,40.03,0.344,,14637.01,831.8602,Girth Weld,,,,,,,,
4060,6.87,0.344,,14677.04,827.4114,Girth Weld,,,,,,,,
4070,37.87,0.344,,14683.91,826.5727,Girth Weld,,,,,,,,
4080,29.69,0.344,,14721.78,823.2322,Girth Weld,,,,,,,,
4090,6.04,0.344,,14751.47,821.8322,Girth Weld,,,,,,,,
4100,39.54,0.5,,14757.51,821.6308,Girth Weld,,,,,,,,"0.500"""
4110,40.03,0.5,,14797.06,821.0003,Girth Weld,,,,,,,,
4120,40.04,0.5,,14837.09,821.375,Girth Weld,,,,,,,,
4130,5.99,0.344,,14877.13,821.7105,Girth Weld,,,,,,,,"0.344"""
4140,19.19,0.344,,14883.11,821.7476,Girth Weld,,,,,,,,
4150,39.87,0.344,,14902.3,821.8068,Girth Weld,,,,,,,,
,,0.344,-25.71,14928.01,821.8759,metal loss,26,,0.91,0.94,1.87,1:11,NO,
,,0.344,-25.9,14928.2,821.8769,Cluster,10,,1.57,3.31,,1:07,NO,
4160,3,0.344,,14942.17,822.0831,Girth Weld,,,,,,,,
,,0.344,-1.48,14943.65,822.1251,Cluster,14,,3.23,2.16,,6:08,NO,
,,0.344,-2.22,14944.39,822.146,Cluster,13,,4.16,3.35,,5:00,NO,
,,0.344,-2.27,14944.44,822.1474,Cluster,14,,7.08,6.14,,6:48,NO,
4170,4.54,0.5,,14945.17,822.1691,Area Start Installation,,,,,,,,"0.500"""
,,0.5,-0.03,14945.2,822.1702,Cluster,10,,8.15,6.03,,4:46,NO,
,,,,14946.03,822.1963,Tap,,,,,,3:00,,
,,,,14947.44,822.2404,Valve,,,,,,,,
,,0.5,-3.79,14948.96,822.2879,Cluster,14,,5.27,8.84,,4:44,NO,
4180,2.98,0.344,,14949.71,822.3112,Area End Installation,,,,,,,,"0.344"""
,,0.344,-1.08,14950.79,822.3451,Cluster,15,,3.43,3.5,,5:04,NO,
,,0.344,-1.42,14951.13,822.3559,Cluster,25,,6.48,10.52,1.66,3:51,NO,
4190,13.2,0.344,,14952.69,822.4046,Girth Weld,,,,,,,,
,,0.344,-0.07,14952.76,822.4068,metal loss,31,,0.98,4.09,1.86,5:46,NO,
4200,39.93,0.344,,14965.88,822.8174,Girth Weld,,,,,,,,
4210,39.94,0.344,,15005.81,822.6651,Girth Weld,,,,,,,,
,,0.344,-28.46,15034.27,821.1598,metal loss,11,,0.71,0.67,,8:57,NO,
,,0.344,-30.19,15036.01,821.0611,Cluster,13,,3.04,3.31,,8:37,NO,
4220,39.91,0.344,,15045.75,820.6058,Girth Weld,,,,,,,,
,,0.344,-8.4,15054.15,820.2092,Cluster,15,,5.14,5.32,,5:18,NO,
,,0.344,-20.74,15066.49,819.6019,metal loss,12,,1.1,1.02,,3:09,NO,
,,0.344,-27.23,15072.99,819.2671,metal loss,14,,0.75,0.59,,8:29,NO,
,,0.344,-28.43,15074.18,819.2055,metal loss,18,,0.71,0.71,,9:28,NO,
,,0.344,-29.49,15075.24,819.1509,Cluster,29,,4.66,2.95,1.68,9:16,NO,
,,0.344,-30.08,15075.83,819.1202,metal loss,22,,0.71,0.71,1.88,9:38,NO,
,,0.344,-32.52,15078.28,818.9927,metal loss,11,,0.71,0.79,,9:17,NO,
,,0.344,-32.83,15078.58,818.9767,Cluster,25,,3.47,1.28,1.76,9:18,NO,
,,0.344,-38.97,15084.72,818.6563,Cluster,18,,1.81,6.3,,3:44,NO,
4230,39.9,0.344,,15085.66,818.6073,Girth Weld,,,,,,,,
,,0.344,-0.73,15086.39,818.5693,Cluster,19,,4.32,10.74,,3:12,NO,
4240,39.89,0.344,,15125.56,816.613,Girth Weld,,,,,,,,
4250,39.83,0.344,,15165.45,814.6774,Girth Weld,,,,,,,,
4260,39.29,0.344,,15205.28,812.8523,Girth Weld,,,,,,,,
4270,10.88,0.344,,15244.57,811.1183,Girth Weld,,,,,,,,
4280,9.98,0.344,,15255.45,810.6447,Girth Weld,,,,,,,,
4290,9.47,0.5,,15265.43,810.2097,Girth Weld,,,,,,,,"0.500"""
,,,,15270.01,810.0105,Bend,,,,,,,,5.9D - 24° - Over
4300,16.59,0.344,,15274.9,809.7983,Girth Weld,,,,,,,,"0.344"""
,,0.344,-0.78,15275.68,809.7644,metal loss,10,,2.09,0.71,,4:48,NO,
4310,8.57,0.5,,15291.49,809.0989,Girth Weld,,,,,,,,"0.500"""
,,,,15295.9,808.9181,Bend,,,,,,,,5.9D - 21° - Sag
4320,20.46,0.344,,15300.06,808.7529,Girth Weld,,,,,,,,"0.344"""
4330,12.38,0.5,,15320.52,806.7525,Girth Weld,,,,,,,,"0.500"""
,,,,15326.71,805.5315,Bend,,,,,,,,6.3D - 33° - Sag
4340,12.99,0.344,,15332.91,804.318,Girth Weld,,,,,,,,"0.344"""
,,0.344,-12.78,15345.69,802.6387,metal loss,24,,2.05,6.02,1.83,4:20,NO,
4350,9.05,0.5,,15345.9,802.6233,Girth Weld,,,,,,,,"0.500"""
,,,,15350.31,802.2949,Bend,,,,,,,,5.3D - 27° - Over
4360,11.94,0.344,,15354.94,801.9484,Girth Weld,,,,,,,,"0.344"""
,,0.344,-2.52,15357.47,801.7592,metal loss,16,,1.1,1.18,,5:03,NO,
4370,39.99,0.344,,15366.89,801.0799,Girth Weld,,,,,,,,
4380,11.31,0.5,,15406.87,804.4363,Area Start Installation,,,,,,,,"0.500"""
,,,,15412.8,804.5082,Valve,,,,,,,,
4390,25.16,0.344,,15418.18,804.5844,Area End Installation,,,,,,,,"0.344"""
,,0.344,-15.48,15433.66,805.158,metal loss-manufacturing anomaly,20,,0.51,0.71,,9:43,N/A,
4400,40.14,0.344,,15443.34,805.5929,Girth Weld,,,,,,,,
4410,40.14,0.344,,15483.48,807.0763,Girth Weld,,,,,,,,
4420,39.94,0.344,,15523.62,809.2363,Girth Weld,,,,,,,,
4430,40.03,0.344,,15563.57,812.1721,Girth Weld,,,,,,,,
,,0.344,-0.71,15564.27,812.2334,Cluster,24,,2.72,2.28,1.79,4:49,NO,
4440,40.04,0.344,,15603.59,815.6691,Girth Weld,,,,,,,,
4450,40.03,0.344,,15643.63,819.0653,Girth Weld,,,,,,,,
4460,39.98,0.344,,15683.66,821.7523,Girth Weld,,,,,,,,
,,,,15720.98,822.9972,Above Ground Marker,,,,,,,,AGM 3
4470,39.87,0.344,,15723.64,823.0141,Girth Weld,,,,,,,,
4480,40.01,0.344,,15763.51,823.1364,Girth Weld,,,,,,,,
4490,34.78,0.344,,15803.52,824.4619,Girth Weld,,,,,,,,
4500,39.97,0.344,,15838.3,825.8162,Girth Weld,,,,,,,,
4510,40.01,0.344,,15878.27,827.2829,Girth Weld,,,,,,,,
4520,40.08,0.344,,15918.28,828.5738,Girth Weld,,,,,,,,
,,0.344,-39.71,15957.99,829.9187,metal loss,10,,0.75,0.83,,3:57,NO,
4530,40.02,0.344,,15958.36,829.9381,Girth Weld,,,,,,,,
4540,39.88,0.344,,15998.39,833.1906,Girth Weld,,,,,,,,
,,0.344,-2.36,16000.75,833.4444,metal loss-manufacturing anomaly,16,,0.71,0.59,,7:30,N/A,
,,0.344,-18.8,16017.19,835.2104,metal loss-manufacturing anomaly,10,,0.79,0.71,,7:29,N/A,
4550,39,0.344,,16038.27,837.2717,Girth Weld,,,,,,,,
4560,39.98,0.344,,16077.27,840.8298,Girth Weld,,,,,,,,
4570,39.94,0.344,,16117.25,844.8402,Girth Weld,,,,,,,,
4580,39.99,0.344,,16157.19,847.8642,Girth Weld,,,,,,,,
4590,39.95,0.344,,16197.17,849.4126,Girth Weld,,,,,,,,
4600,40,0.344,,16237.12,849.7761,Girth Weld,,,,,,,,
4610,39.99,0.344,,16277.12,849.8702,Girth Weld,,,,,,,,
4620,39.92,0.344,,16317.11,849.8271,Girth Weld,,,,,,,,
4630,40.01,0.344,,16357.03,849.4279,Girth Weld,,,,,,,,
4640,39.9,0.344,,16397.04,848.8621,Girth Weld,,,,,,,,
,,0.344,-39.03,16436.07,848.2261,metal loss,10,,0.94,0.67,,4:55,NO,
4650,39.86,0.344,,16436.94,848.2123,Girth Weld,,,,,,,,
4660,39.94,0.344,,16476.79,847.5869,Girth Weld,,,,,,,,
,,0.344,-32.57,16509.36,846.9837,Cluster,35,,4.56,11.58,1.63,4:54,NO,
,,0.344,-33.08,16509.87,846.9737,metal loss,10,,1.81,2.09,,6:37,NO,
,,0.344,-38.9,16515.7,846.8592,Cluster,20,,3.48,16.19,1.79,6:39,NO,
4670,40.01,0.344,,16516.74,846.84,Girth Weld,,,,,,,,
4680,39.99,0.344,,16556.75,846.3296,Girth Weld,,,,,,,,
,,0.344,-39.01,16595.76,846.2931,metal loss,14,,2.84,0.71,,8:17,NO,
4690,40.01,0.344,,16596.74,846.2914,Girth Weld,,,,,,,,
,,0.344,-0.83,16597.57,846.29,metal loss,12,,1.61,0.79,,6:29,NO,
,,0.344,-0.83,16597.57,846.29,metal loss,10,,1.69,8.19,,4:50,NO,
4700,39.94,0.344,,16636.75,846.1436,Girth Weld,,,,,,,,
4710,39.98,0.344,,16676.68,845.8867,Girth Weld,,,,,,,,
,,0.344,-0.69,16677.37,845.8829,Cluster,18,,4.88,24.86,,2:26,NO,
4720,39.99,0.344,,16716.67,845.6386,Girth Weld,,,,,,,,
4730,39.99,0.344,,16756.66,845.4099,Girth Weld,,,,,,,,
,,0.344,-0.03,16756.69,845.4098,Cluster,12,,4.25,3.86,,3:15,NO,
4740,39.95,0.344,,16796.65,845.2626,Girth Weld,,,,,,,,
4750,40,0.344,,16836.6,845.108,Girth Weld,,,,,,,,
4760,39.94,0.344,,16876.6,845.0137,Girth Weld,,,,,,,,
4770,39.96,0.344,,16916.54,844.7981,Girth Weld,,,,,,,,
4780,39.93,0.344,,16956.5,844.4206,Girth Weld,,,,,,,,
4790,39.91,0.344,,16996.43,844.0332,Girth Weld,,,,,,,,
4800,39.99,0.344,,17036.34,843.7525,Girth Weld,,,,,,,,
4810,40.18,0.344,,17076.33,843.8376,Girth Weld,,,,,,,,
4820,40.22,0.344,,17116.51,844.0982,Girth Weld,,,,,,,,
4830,11.82,0.344,,17156.73,844.8993,Girth Weld,,,,,,,,
4840,40.01,0.344,,17168.55,845.4954,Girth Weld,,,,,,,,
4850,39.92,0.344,,17208.55,848.6305,Girth Weld,,,,,,,,
4860,40,0.344,,17248.47,852.9325,Girth Weld,,,,,,,,
4870,39.98,0.344,,17288.47,857.9929,Girth Weld,,,,,,,,
4880,40.01,0.344,,17328.45,863.362,Girth Weld,,,,,,,,
4890,40.01,0.344,,17368.47,869.4305,Girth Weld,,,,,,,,
4900,40,0.344,,17408.48,875.6269,Girth Weld,,,,,,,,
4910,39.92,0.344,,17448.47,881.3154,Girth Weld,,,,,,,,
4920,39.91,0.344,,17488.39,886.1287,Girth Weld,,,,,,,,
4930,9.87,0.5,,17528.3,889.7806,Girth Weld,,,,,,,,"0.500"""
,,,,17533.11,890.0481,Bend,,,,,,,,6.0D - 24° - Over
4940,24.94,0.344,,17538.17,890.3196,Girth Weld,,,,,,,,"0.344"""
4950,31.26,0.344,,17563.11,890.9884,Girth Weld,,,,,,,,
4960,39.95,0.344,,17594.37,888.3675,Girth Weld,,,,,,,,
4970,40.04,0.344,,17634.32,882.2407,Girth Weld,,,,,,,,
4980,39.93,0.344,,17674.36,876.8111,Girth Weld,,,,,,,,
4990,39.97,0.344,,17714.28,873.0757,Girth Weld,,,,,,,,
5000,40.01,0.344,,17754.25,870.8867,Girth Weld,,,,,,,,
5010,40.07,0.344,,17794.26,869.6388,Girth Weld,,,,,,,,
5020,31.65,0.344,,17834.32,869.3028,Girth Weld,,,,,,,,
5030,40.03,0.344,,17865.98,869.3317,Girth Weld,,,,,,,,
5040,39.97,0.344,,17906.01,870.0095,Girth Weld,,,,,,,,
5050,40.06,0.344,,17945.98,870.9112,Girth Weld,,,,,,,,
5060,31.26,0.344,,17986.04,872.0171,Girth Weld,,,,,,,,
5070,39.94,0.344,,18017.29,873.1709,Girth Weld,,,,,,,,
5080,39.91,0.344,,18057.24,874.3753,Girth Weld,,,,,,,,
5090,39.94,0.344,,18097.15,874.9225,Girth Weld,,,,,,,,
5100,39.88,0.344,,18137.09,874.2097,Girth Weld,,,,,,,,
,,0.344,-38.78,18175.87,873.1097,Cluster,20,,4.97,6.79,1.74,4:24,NO,
,,0.344,-38.81,18175.91,873.1085,metal loss,18,,0.87,0.59,,6:45,NO,
,,0.344,-38.83,18175.92,873.1082,metal loss,23,,0.87,0.87,1.87,5:58,NO,
5110,8.21,0.344,,18176.97,873.0721,Girth Weld,,,,,,,,
5120,40.02,0.344,,18185.18,872.79,Girth Weld,,,,,,,,
,,0.344,-0.83,18186.01,872.7616,metal loss,14,,1.1,3.42,,6:02,NO,
5130,39.98,0.344,,18225.2,871.5543,Girth Weld,,,,,,,,
5140,39.94,0.344,,18265.17,870.8599,Girth Weld,,,,,,,,
5150,39.86,0.344,,18305.11,870.7747,Girth Weld,,,,,,,,
5160,40.03,0.344,,18344.97,871.4204,Girth Weld,,,,,,,,
5170,40.11,0.344,,18385.01,872.3166,Girth Weld,,,,,,,,
5180,40.07,0.344,,18425.12,873.8279,Girth Weld,,,,,,,,
5190,34.56,0.344,,18465.18,876.6211,Girth Weld,,,,,,,,
5200,40.06,0.344,,18499.75,880.0664,Girth Weld,,,,,,,,
5210,39.89,0.344,,18539.81,885.0386,Girth Weld,,,,,,,,
5220,39.94,0.344,,18579.7,890.31,Girth Weld,,,,,,,,
5230,40,0.344,,18619.65,896.2165,Girth Weld,,,,,,,,
5240,39.97,0.344,,18659.65,902.3154,Girth Weld,,,,,,,,
5250,40.02,0.344,,18699.62,908.5615,Girth Weld,,,,,,,,
5260,40.01,0.344,,18739.64,914.8843,Girth Weld,,,,,,,,
5270,35.11,0.344,,18779.65,921.2024,Girth Weld,,,,,,,,
,,0.344,-34.87,18814.52,926.6041,Cluster,67,,1.88,3.5,1.64,7:23,NO,
5280,11.97,0.5,,18814.76,926.6411,Girth Weld,,,,,,,,"0.500"""
,,,,18820.48,927.5206,Bend,,,,,,,,5.8D - 35° - Left
5290,40.07,0.344,,18826.74,928.4815,Girth Weld,,,,,,,,"0.344"""
5300,39.75,0.344,,18866.81,933.9287,Girth Weld,,,,,,,,
5310,40.04,0.344,,18906.55,935.4292,Girth Weld,,,,,,,,
,,,,18911.82,935.5569,Tap,,,,,,12:00,,
5320,30.18,0.344,,18946.6,935.6758,Girth Weld,,,,,,,,
5330,39.97,0.344,,18976.77,934.7741,Girth Weld,,,,,,,,
5340,40.06,0.344,,19016.74,932.4625,Girth Weld,,,,,,,,
5350,40.04,0.344,,19056.8,930.0627,Girth Weld,,,,,,,,
5360,40.08,0.344,,19096.84,927.7261,Girth Weld,,,,,,,,
5370,40,0.344,,19136.92,925.9325,Girth Weld,,,,,,,,
5380,39.38,0.344,,19176.92,924.231,Girth Weld,,,,,,,,
5390,39.99,0.344,,19216.29,922.6578,Girth Weld,,,,,,,,
5400,39.99,0.344,,19256.28,920.9642,Girth Weld,,,,,,,,
,,0.344,-39.12,19295.4,918.9961,metal loss,12,,1.02,2.99,,5:17,NO,
5410,39.97,0.344,,19296.27,918.9471,Girth Weld,,,,,,,,
5420,39.98,0.344,,19336.24,916.4906,Girth Weld,,,,,,,,
5430,40.01,0.344,,19376.22,913.9004,Girth Weld,,,,,,,,
5440,40,0.344,,19416.24,911.4288,Girth Weld,,,,,,,,
5450,40,0.344,,19456.24,908.9218,Girth Weld,,,,,,,,
5460,39.97,0.344,,19496.24,906.3832,Girth Weld,,,,,,,,
5470,40.01,0.344,,19536.21,903.6774,Girth Weld,,,,,,,,
5480,40.04,0.344,,19576.22,900.8399,Girth Weld,,,,,,,,
5490,40,0.344,,19616.26,897.7843,Girth Weld,,,,,,,,
5500,39.99,0.344,,19656.25,894.6504,Girth Weld,,,,,,,,
5510,40,0.344,,19696.24,891.4772,Girth Weld,,,,,,,,
5520,40.01,0.344,,19736.25,888.3513,Girth Weld,,,,,,,,
5530,40.03,0.344,,19776.25,885.2165,Girth Weld,,,,,,,,
5540,40.05,0.344,,19816.29,882.4061,Girth Weld,,,,,,,,
5550,40.05,0.344,,19856.34,879.6819,Girth Weld,,,,,,,,
5560,39.95,0.344,,19896.39,877.0277,Girth Weld,,,,,,,,
,,0.344,-14.48,19910.87,876.2111,metal loss,10,,0.59,0.71,,6:40,NO,
5570,39.96,0.344,,19936.33,874.7981,Girth Weld,,,,,,,,
5580,39.97,0.344,,19976.3,872.6346,Girth Weld,,,,,,,,
5590,39.95,0.344,,20016.26,870.4776,Girth Weld,,,,,,,,
,,0.344,-0.34,20016.6,870.459,metal loss,10,,0.71,0.67,,4:06,NO,
5600,40.01,0.344,,20056.21,868.1201,Girth Weld,,,,,,,,
5610,39.97,0.344,,20096.22,865.4281,Girth Weld,,,,,,,,
5620,40.01,0.344,,20136.18,862.7636,Girth Weld,,,,,,,,
5630,39.99,0.344,,20176.2,859.9458,Girth Weld,,,,,,,,
5640,39.98,0.344,,20216.19,856.1621,Girth Weld,,,,,,,,
5650,40,0.344,,20256.17,852.0033,Girth Weld,,,,,,,,
5660,40.01,0.344,,20296.17,847.691,Girth Weld,,,,,,,,
,,0.344,-38.97,20335.14,843.5754,Cluster,21,,3.59,5.01,1.78,6:36,NO,
,,0.344,-39.16,20335.33,843.5562,metal loss,11,,1.18,1.89,,7:17,NO,
5670,40.02,0.344,,20336.18,843.4668,Girth Weld,,,,,,,,
5680,38.63,0.344,,20376.2,839.3206,Girth Weld,,,,,,,,
,,0.344,-37.5,20413.71,835.537,metal loss,11,,1.81,2.87,,5:47,NO,
5690,40,0.344,,20414.83,835.4205,Girth Weld,,,,,,,,
5700,39.98,0.344,,20454.83,831.0633,Girth Weld,,,,,,,,
5710,40.04,0.344,,20494.81,826.5618,Girth Weld,,,,,,,,
5720,40.04,0.344,,20534.85,822.0667,Girth Weld,,,,,,,,
5730,40.01,0.344,,20574.89,817.2602,Girth Weld,,,,,,,,
5740,40.04,0.344,,20614.9,812.3748,Girth Weld,,,,,,,,
5750,40.04,0.344,,20654.94,807.4647,Girth Weld,,,,,,,,
5760,40.07,0.344,,20694.99,802.5559,Girth Weld,,,,,,,,
5770,40.05,0.344,,20735.06,797.8108,Girth Weld,,,,,,,,
5780,40.15,0.344,,20775.1,793.3048,Girth Weld,,,,,,,,
5790,11.7,0.344,,20815.25,789.2764,Girth Weld,,,,,,,,
5800,40.1,0.344,,20826.95,788.2476,Girth Weld,,,,,,,,
5810,40.01,0.344,,20867.05,786.2035,Girth Weld,,,,,,,,
5820,33.44,0.344,,20907.06,785.331,Girth Weld,,,,,,,,
5830,40.09,0.344,,20940.5,784.7282,Girth Weld,,,,,,,,
5840,40.14,0.344,,20980.59,783.9852,Girth Weld,,,,,,,,
,,0.344,-39.22,21019.81,783.2616,Cluster,25,,1.85,8.88,1.83,5:07,NO,
5850,20.93,0.344,,21020.73,783.2443,Girth Weld,,,,,,,,
5860,40.23,0.344,,21041.66,782.8422,Girth Weld,,,,,,,,
5870,39.96,0.344,,21081.9,781.9827,Girth Weld,,,,,,,,
5880,40.04,0.344,,21121.85,781.0966,Girth Weld,,,,,,,,
5890,40.02,0.344,,21161.9,780.5305,Girth Weld,,,,,,,,
5900,39.97,0.344,,21201.92,780.0289,Girth Weld,,,,,,,,
,,,,21223.76,779.7347,Above Ground Marker,,,,,,,,AGM 4
5910,39.99,0.344,,21241.88,779.4593,Girth Weld,,,,,,,,
5920,39.94,0.344,,21281.87,778.8174,Girth Weld,,,,,,,,
,,0.344,-0.68,21282.56,778.8138,Cluster,28,,4.84,8.11,1.68,3:53,NO,
,,0.344,-0.7,21282.57,778.8137,metal loss,11,,1.65,2.28,,8:23,NO,
,,0.344,-0.71,21282.59,778.8136,metal loss,14,,1.3,2.05,,9:10,NO,
,,0.344,-0.71,21282.59,778.8136,metal loss,17,,1.65,4.21,,7:18,NO,
,,0.344,-22.6,21304.48,778.7127,metal loss-manufacturing anomaly,14,,0.59,0.59,,3:09,N/A,
,,0.344,-25.76,21307.63,778.7003,Cluster,39,,7.13,2.98,1.49,6:21,NO,
5930,39.99,0.344,,21321.81,778.6609,Girth Weld,,,,,,,,
,,0.344,-19.97,21341.79,778.6263,metal loss,11,,3.54,6.1,,5:43,NO,
,,0.344,-31.22,21353.03,778.6063,Cluster,23,,4.99,17.47,1.72,4:43,NO,
,,0.344,-33.64,21355.45,778.6014,Cluster,19,,3.02,6.45,,4:01,NO,
,,0.344,-39.09,21360.9,778.5886,metal loss,26,,1.5,7.17,1.85,7:22,NO,
5940,40.03,0.344,,21361.81,778.5862,Girth Weld,,,,,,,,
,,0.344,-0.62,21362.42,778.5846,Cluster,28,,3.66,14.43,1.73,7:11,NO,
,,0.344,-0.69,21362.49,778.5844,Cluster,32,,4.5,9.68,1.66,5:02,NO,
,,0.344,-0.73,21362.53,778.5843,metal loss,40,,3.27,0.63,1.67,4:23,NO,
,,0.344,-0.75,21362.56,778.5843,metal loss,20,,0.83,1.89,1.88,3:26,NO,
,,0.344,-0.77,21362.58,778.5842,metal loss,13,,1.3,1.42,,10:47,NO,
5950,40.02,0.344,,21401.83,778.486,Girth Weld,,,,,,,,
,,0.344,-36.95,21438.79,778.6576,Cluster,64,,7.79,19.23,1.12,5:28,NO,
5960,39.98,0.344,,21441.85,778.6752,Girth Weld,,,,,,,,
5970,40,0.344,,21481.83,778.8812,Girth Weld,,,,,,,,
5980,39.96,0.344,,21521.84,779.0777,Girth Weld,,,,,,,,
5990,39.95,0.344,,21561.79,779.3481,Girth Weld,,,,,,,,
6000,40.02,0.344,,21601.74,779.7254,Girth Weld,,,,,,,,
6010,39.88,0.344,,21641.77,779.9839,Girth Weld,,,,,,,,
,,0.344,-38.65,21680.42,780.2876,metal loss,15,,0.75,1.3,,5:27,NO,
,,0.344,-39.61,21681.38,780.2943,metal loss,10,,2.24,1.3,,6:40,NO,
6020,32.81,0.344,,21681.65,780.2962,Girth Weld,,,,,,,,
6030,9.73,0.344,,21714.46,779.9144,Girth Weld,,,,,,,,
6040,39.98,0.344,,21724.19,779.4304,Girth Weld,,,,,,,,
6050,40.13,0.344,,21764.17,776.9182,Girth Weld,,,,,,,,
6060,40.16,0.344,,21804.3,773.9291,Girth Weld,,,,,,,,
,,0.344,-11.02,21815.32,773.1062,metal loss,10,,0.91,0.87,,6:57,NO,
6070,40.01,0.344,,21844.46,771.2823,Girth Weld,,,,,,,,
