Joint num,Joint len,Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR
9440,,,,,34097.46,AGM,,,,,,,,,AGM#13 AT PLM/ ON FENCE,,,125.85,,,,,,,,,,,,,,,
9440,,,,,34105.76,Attachment,,,,,,,,5:30,Repair Marker,,,125.91,,,,,,,,,,,,,,,
9440,,,,,34105.84,Area Start Composite Wrap,,,,,,,,,Repair Marker @12:00 2012 Dig#22,,,125.91,,,,,,,,,,,,,,,
9440,,0.344,-39.25,0.89,34106.55,metal loss,External,45,0.155,,,0.98,4.49,10:27,Repaired?,,1,125.92,,MFL-A/XT,,1160,65000,,1342,1448.97,2011.86,1515.78,2104.63,1520.83,2111.63,0.77,1.81
9440,,,,,34107.29,Area End Composite Wrap,,,,,,,,,Repair Marker @12:00 2012 Dig#22,,,125.93,,,,,,,,,,,,,,,
9440,,0.344,-40.02,0.11,34107.32,metal loss,External,14,0.048,,,0.94,1.58,11:45,affecting girth weld; Recoat,,1,125.93,,MFL-A/XT,,1160,65000,,1342,1470.01,2041.08,,,,,,
9450,40.08,0.344,,,34107.43,GirthWeld,,,,,,,,,,3,0.7,125.93,,,,1160,65000,,1342,,,,,,,,
9450,,0.344,-0.8,39.28,34108.23,metal loss,External,11,0.038,,,0.51,1.1,10:37,Recoat,,0.7,125.93,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
9450,,,,,34108.7,Attachment,,,,,,,,6:00,Repair Marker,,,125.93,,,,,,,,,,,,,,,
9450,,0.344,-32.49,7.59,34139.92,metal loss,External,11,0.038,,,0.79,1.65,4:58,,,0.7,125.92,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
9450,,0.344,-33.31,6.78,34140.74,metal loss,External,41,0.141,,,0.94,1.46,5:39,,,0.7,125.92,,MFL-A/XT,,1160,65000,,1342,1454.36,2019.34,1522.69,2114.22,1526.41,2119.38,0.76,1.82
9460,40.14,0.344,,,34147.51,GirthWeld,,,,,,,,,,3,1,125.88,,,,1160,65000,,1342,,,,,,,,
9460,,0.344,-9.07,31.07,34156.58,metal loss,External,19,0.065,,,1.97,1.73,4:07,,,1,125.85,,MFL-A/XT,,1160,65000,,1342,1445.32,2006.8,,,,,,
9460,,0.344,-9.98,30.16,34157.5,metal loss,External,31,0.107,,,1.85,2.32,5:04,,,1,125.85,,MFL-A/XT,,1160,65000,,1342,1426.2,1980.24,1489.9,2068.69,1496.39,2077.7,0.78,1.78
9460,,0.344,-10.72,29.42,34158.24,metal loss,External,12,0.041,,,0.59,1.81,5:38,,,1,125.84,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
9460,,,,,34186.91,Attachment,,,,,,,,6:00,Repair Marker 2012 Dig #23 Recoat,,,126.26,,,,,,,,,,,,,,,
9470,40.09,0.344,,,34187.65,GirthWeld,,,,,,,,,,5,0.7,126.28,,,,1160,65000,,1342,,,,,,,,
9470,,0.344,-0.76,39.34,34188.41,metal loss,External,34,0.117,,,1.65,5.08,5:10,Recoat,,0.7,126.3,,MFL-A/XT,,1160,65000,,1342,1430.17,1985.76,1494.42,2074.97,1500.98,2084.07,0.78,1.79
9470,,0.344,-0.78,39.31,34188.43,metal loss,External,31,0.107,,,1.81,2.05,2:47,Recoat,,0.7,126.3,,MFL-A/XT,,1160,65000,,1342,1428.2,1983.03,1492.34,2072.07,1498.57,2080.72,0.78,1.79
9470,,0.344,-0.78,39.31,34188.44,metal loss,External,21,0.072,,,1.38,4.17,7:17,Recoat,,0.7,126.3,,MFL-A/XT,,1160,65000,,1342,1456.94,2022.93,1526.86,2120,1528.17,2121.82,0.76,1.83
9470,,0.344,-0.79,39.3,34188.44,metal loss,External,29,0.1,,,1.22,4.57,3:53,Recoat,,0.7,126.3,,MFL-A/XT,,1160,65000,,1342,1453.37,2017.97,1522.4,2113.81,1525.14,2117.62,0.76,1.82
9470,,0.344,-0.79,39.3,34188.45,metal loss,External,29,0.1,,,1.14,1.81,6:34,Recoat,,0.7,126.3,,MFL-A/XT,,1160,65000,,1342,1456.11,2021.77,1525.57,2118.22,1527.99,2121.58,0.76,1.83
9470,,,,,34189.44,Attachment,,,,,,,,6:00,Repair Marker 2012 Dig #23 Recoat,,,126.32,,,,,,,,,,,,,,,
9480,40.09,0.344,,,34227.74,GirthWeld,,,,,,,,,,,0.7,127.19,,,,1160,65000,,1342,,,,,,,,
9490,40.13,0.344,,,34267.84,GirthWeld,,,,,,,,,,,0.7,127.74,,,,1160,65000,,1342,,,,,,,,
9500,40.11,0.344,,,34307.96,GirthWeld,,,,,,,,,,,0.7,128.44,,,,1160,65000,,1342,,,,,,,,
9510,32.31,0.344,,,34348.08,GirthWeld,,,,,,,,,,,0.7,129.11,,,,1160,65000,,1342,,,,,,,,
9520,40.05,0.344,,,34380.39,GirthWeld,,,,,,,,,,,0.7,129.84,,,,1160,65000,,1342,,,,,,,,
9530,40.13,0.344,,,34420.43,GirthWeld,,,,,,,,,,,0.7,129.69,,,,1160,65000,,1342,,,,,,,,
9540,40.05,0.344,,,34460.57,GirthWeld,,,,,,,,,,,0.7,129.01,,,,1160,65000,,1342,,,,,,,,
9550,29.9,0.344,,,34500.61,GirthWeld,,,,,,,,,,,0.7,127.97,,,,1160,65000,,1342,,,,,,,,
9560,40.08,0.344,,,34530.51,GirthWeld,,,,,,,,,,,1,126.36,,,,1160,65000,,1342,,,,,,,,
9570,40.07,0.344,,,34570.59,GirthWeld,,,,,,,,,,,1,123.74,,,,1160,65000,,1342,,,,,,,,
9580,39.69,0.344,,,34610.66,GirthWeld,,,,,,,,,,,1,120.92,,,,1160,65000,,1342,,,,,,,,
9590,40.25,0.344,,,34650.35,GirthWeld,,,,,,,,,,1,0.7,116.98,,,,1160,65000,,1342,,,,,,,,
9590,,0.344,-19.91,20.33,34670.26,metal loss,External,13,0.045,,,0.87,1.18,7:24,,,0.7,115.5,,MFL-A/XT,,1160,65000,,1342,1471.41,2043.01,,,,,,
9600,40.07,0.344,,,34690.59,GirthWeld,,,,,,,,,,,0.7,116.72,,,,1160,65000,,1342,,,,,,,,
9610,40.08,0.344,,,34730.66,GirthWeld,,,,,,,,,,,0.7,117.85,,,,1160,65000,,1342,,,,,,,,
9620,40.06,0.344,,,34770.73,GirthWeld,,,,,,,,,,,0.7,116.29,,,,1160,65000,,1342,,,,,,,,
9630,40.07,0.344,,,34810.79,GirthWeld,,,,,,,,,,,0.7,112.59,,,,1160,65000,,1342,,,,,,,,
9640,40.09,0.344,,,34850.86,GirthWeld,,,,,,,,,,,1,107.94,,,,1160,65000,,1342,,,,,,,,
9650,40.03,0.344,,,34890.95,GirthWeld,,,,,,,,,,2,0.7,102.85,,,,1160,65000,,1342,,,,,,,,
9650,,0.344,-21.29,18.74,34912.23,metal loss manufacturing,N/A,21,0.072,,,0.39,0.75,6:59,,,0.7,99.51,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
9650,,0.344,-22.8,17.23,34913.75,metal loss manufacturing,N/A,18,0.062,,,0.43,0.67,10:50,,,0.7,99.22,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
9660,40.11,0.344,,,34930.98,GirthWeld,,,,,,,,,,1,0.7,95.95,,,,1160,65000,,1342,,,,,,,,
9660,,0.344,-31.51,8.6,34962.49,metal loss,External,10,0.034,,,0.79,1.38,2:16,,,0.7,89.93,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
9670,40.13,0.344,,,34971.09,GirthWeld,,,,,,,,,,1,0.7,88.74,,,,1160,65000,,1342,,,,,,,,
9670,,0.344,-0.8,39.33,34971.89,metal loss,External,14,0.048,,,0.43,1.18,11:39,,,0.7,88.63,,MFL-A/XT,,1160,65000,,1342,1474.85,2047.79,,,,,,
9680,40.21,0.344,,,35011.22,GirthWeld,,,,,,,,,,,0.7,85.91,,,,1160,65000,,1342,,,,,,,,
9690,27.46,0.344,,,35051.44,GirthWeld,,,,,,,,,,1,1,89.6,,,,1160,65000,,1342,,,,,,,,
9690,,0.344,-0.03,27.43,35051.46,metal loss,External,11,0.038,,,0.39,1.14,2:07,affecting girth weld,,1,89.6,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
9700,40.02,0.344,,,35078.89,GirthWeld,,,,,,,,,,,0.7,95.11,,,,1160,65000,,1342,,,,,,,,
9710,40.01,0.344,,,35118.91,GirthWeld,,,,,,,,,,,0.7,102.41,,,,1160,65000,,1342,,,,,,,,
9720,40.07,0.344,,,35158.92,GirthWeld,,,,,,,,,,,0.7,106.57,,,,1160,65000,,1342,,,,,,,,
9730,40.08,0.344,,,35198.99,GirthWeld,,,,,,,,,,,0.7,109.97,,,,1160,65000,,1342,,,,,,,,
9740,40.23,0.344,,,35239.07,GirthWeld,,,,,,,,,,,0.7,113.63,,,,1160,65000,,1342,,,,,,,,
9750,40.08,0.344,,,35279.3,GirthWeld,,,,,,,,,,,0.7,116.8,,,,1160,65000,,1342,,,,,,,,
9760,40.09,0.344,,,35319.37,GirthWeld,,,,,,,,,,,1,118.69,,,,1160,65000,,1342,,,,,,,,
9770,40.1,0.344,,,35359.46,GirthWeld,,,,,,,,,,,1,119.61,,,,1160,65000,,1342,,,,,,,,
9780,40.07,0.344,,,35399.57,GirthWeld,,,,,,,,,,,1,120.22,,,,1160,65000,,1342,,,,,,,,
9790,4.05,0.344,,,35439.64,GirthWeld,,,,,,,,,,,0.7,119.98,,,,1160,65000,,1342,,,,,,,,
9800,39.92,0.5,,,35443.69,GirthWeld,,,,,,,,,,,0.7,119.95,,,,1160,60000,,1800,,,,,,,,
9810,4.06,0.344,,,35483.61,GirthWeld,,,,,,,,,,,0.7,120.09,,,,1160,65000,,1342,,,,,,,,
9820,39.99,0.344,,,35487.68,GirthWeld,,,,,,,,,,,1,120.12,,,,1160,65000,,1342,,,,,,,,
9830,27.26,0.344,,,35527.67,GirthWeld,,,,,,,,,,,0.7,120.86,,,,1160,65000,,1342,,,,,,,,
9840,40.07,0.344,,,35554.93,GirthWeld,,,,,,,,,,,0.7,121.45,,,,1160,65000,,1342,,,,,,,,
9850,39.99,0.344,,,35595,GirthWeld,,,,,,,,,,,0.7,122.67,,,,1160,65000,,1342,,,,,,,,
9860,40.03,0.344,,,35634.99,GirthWeld,,,,,,,,,,1,0.7,124.43,,,,1160,65000,,1342,,,,,,,,
9860,,0.344,-0.86,39.17,35635.85,metal loss,External,35,0.12,,,0.51,1.22,5:55,,,0.7,124.48,,MFL-A/XT,,1160,65000,,1342,1470.54,2041.8,1542.01,2141.04,1542.84,2142.19,0.75,1.85
9870,40.03,0.344,,,35675.02,GirthWeld,,,,,,,,,,,0.7,126.77,,,,1160,65000,,1342,,,,,,,,
9880,40.08,0.344,,,35715.04,GirthWeld,,,,,,,,,,,0.7,129.11,,,,1160,65000,,1342,,,,,,,,
9890,40.06,0.344,,,35755.13,GirthWeld,,,,,,,,,,2,1,130.77,,,,1160,65000,,1342,,,,,,,,
9890,,0.344,-39.16,0.9,35794.29,metal loss,External,27,0.093,,,0.79,2.28,7:01,,,1,131.7,,MFL-A/XT,,1160,65000,,1342,1467.11,2037.04,1538.28,2135.86,1539.28,2137.25,0.75,1.84
9890,,0.344,-39.19,0.87,35794.32,metal loss,External,14,0.048,,,0.87,0.63,6:05,,,1,131.7,,MFL-A/XT,,1160,65000,,1342,1471,2042.45,,,,,,
9900,40.02,0.344,,,35795.19,GirthWeld,,,,,,,,,,,0.7,131.72,,,,1160,65000,,1342,,,,,,,,
9910,40.05,0.344,,,35835.21,GirthWeld,,,,,,,,,,2,1,132.99,,,,1160,65000,,1342,,,,,,,,
9910,,0.344,-18.27,21.77,35853.48,metal loss manufacturing,N/A,15,0.052,,,0.32,0.79,6:12,,,1,133.48,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
9910,,0.344,-18.35,21.69,35853.56,metal loss manufacturing,N/A,10,0.034,,,0.32,0.63,6:00,,,1,133.48,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
9920,40.03,0.344,,,35875.25,GirthWeld,,,,,,,,,,7,1,133.95,,,,1160,65000,,1342,,,,,,,,
9920,,0.344,-0.7,39.33,35875.95,metal loss,External,26,0.089,,,1.22,6.46,4:46,,,1,133.97,,MFL-A/XT,,1160,65000,,1342,1456.19,2021.88,1525.81,2118.55,1527.9,2121.45,0.76,1.83
9920,,0.344,-0.71,39.32,35875.96,metal loss,External,14,0.048,,,0.91,1.93,6:34,,,1,133.97,,MFL-A/XT,,1160,65000,,1342,1470.59,2041.87,,,,,,
9920,,0.344,-0.73,39.3,35875.98,metal loss,External,16,0.055,,,1.26,2.28,3:52,,,1,133.97,,MFL-A/XT,,1160,65000,,1342,1464.13,2032.91,,,,,,
9920,,0.344,-0.73,39.3,35875.98,cluster,External,22,0.076,,,1.18,4.73,7:39,,,1,133.97,,,,1160,65000,,1342,1460.78,2028.25,1531.22,2126.06,1531.89,2127,0.76,1.83
9920,,0.344,-0.75,39.28,35876,metal loss,External,25,0.086,,,0.79,3.46,8:55,,,1,133.97,,MFL-A/XT,,1160,65000,,1342,1467.67,2037.82,1538.96,2136.81,1539.8,2137.97,0.75,1.84
9920,,0.344,-0.77,39.26,35876.02,metal loss,External,19,0.065,,,0.63,2.95,10:42,,,1,133.97,,MFL-A/XT,,1160,65000,,1342,1472.28,2044.23,,,,,,
9920,,0.344,-0.77,39.26,35876.02,metal loss,External,11,0.038,,,0.83,2.52,1:29,,,1,133.97,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
9930,40.04,0.344,,,35915.28,GirthWeld,,,,,,,,,,,0.7,135.07,,,,1160,65000,,1342,,,,,,,,
9940,40.05,0.344,,,35955.32,GirthWeld,,,,,,,,,,,0.7,136.23,,,,1160,65000,,1342,,,,,,,,
9940,,,,,35973.21,Attachment,,,,,,,,6:00,Repair Marker 2012 Dig #24,,,136.67,,,,,,,,,,,,,,,
9940,,,,,35973.92,Area Start Sleeve,,,,,,,,,2012 Dig #24,,,136.69,,,,,,,,,,,,,,,
9940,,,,,35976.29,Area End Sleeve,,,,,,,,,2012 Dig #24,,,136.77,,,,,,,,,,,,,,,
9940,,,,,35976.78,Attachment,,,,,,,,6:00,Repair Marker 2012 Dig #24,,,136.79,,,,,,,,,,,,,,,
9950,40.04,0.344,,,35995.37,GirthWeld,,,,,,,,,,,1,137.42,,,,1160,65000,,1342,,,,,,,,
9960,40,0.344,,,36035.4,GirthWeld,,,,,,,,,,,0.7,138.2,,,,1160,65000,,1342,,,,,,,,
9970,40,0.344,,,36075.4,GirthWeld,,,,,,,,,,,0.7,139.1,,,,1160,65000,,1342,,,,,,,,
9980,40.01,0.344,,,36115.4,GirthWeld,,,,,,,,,,,0.7,140.68,,,,1160,65000,,1342,,,,,,,,
9990,40.02,0.344,,,36155.42,GirthWeld,,,,,,,,,,,0.7,142.32,,,,1160,65000,,1342,,,,,,,,
10000,39.86,0.344,,,36195.43,GirthWeld,,,,,,,,,,,0.7,143.78,,,,1160,65000,,1342,,,,,,,,
10010,40.08,0.344,,,36235.3,GirthWeld,,,,,,,,,,,0.7,145.44,,,,1160,65000,,1342,,,,,,,,
10020,39.87,0.344,,,36275.38,GirthWeld,,,,,,,,,,,0.7,146.79,,,,1160,65000,,1342,,,,,,,,
10030,40.04,0.344,,,36315.25,GirthWeld,,,,,,,,,,,0.7,147.73,,,,1160,65000,,1342,,,,,,,,
10040,40.04,0.344,,,36355.29,GirthWeld,,,,,,,,,,,0.7,147.49,,,,1160,65000,,1342,,,,,,,,
10050,40.07,0.344,,,36395.33,GirthWeld,,,,,,,,,,,0.7,147.37,,,,1160,65000,,1342,,,,,,,,
10060,40.03,0.344,,,36435.4,GirthWeld,,,,,,,,,,,0.7,146.05,,,,1160,65000,,1342,,,,,,,,
10070,40.18,0.344,,,36475.42,GirthWeld,,,,,,,,,,1,0.7,143.74,,,,1160,65000,,1342,,,,,,,,
10070,,0.344,-21.26,18.92,36496.68,metal loss,External,10,0.034,,,0.51,0.98,5:03,,,0.7,143.81,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
10080,40.03,0.344,,,36515.6,GirthWeld,,,,,,,,,,,0.7,145.29,,,,1160,65000,,1342,,,,,,,,
10090,40.08,0.344,,,36555.63,GirthWeld,,,,,,,,,,,1,149,,,,1160,65000,,1342,,,,,,,,
10100,40.05,0.344,,,36595.7,GirthWeld,,,,,,,,,,,0.7,152.54,,,,1160,65000,,1342,,,,,,,,
10110,40.03,0.344,,,36635.75,GirthWeld,,,,,,,,,,,0.7,154.85,,,,1160,65000,,1342,,,,,,,,
10120,39.95,0.344,,,36675.78,GirthWeld,,,,,,,,,,,0.7,157.24,,,,1160,65000,,1342,,,,,,,,
10130,40.05,0.344,,,36715.72,GirthWeld,,,,,,,,,,,1,158.87,,,,1160,65000,,1342,,,,,,,,
10140,40.04,0.344,,,36755.77,GirthWeld,,,,,,,,,,,0.7,160.07,,,,1160,65000,,1342,,,,,,,,
10150,39.97,0.344,,,36795.82,GirthWeld,,,,,,,,,,,0.7,161.01,,,,1160,65000,,1342,,,,,,,,
10160,39.47,0.344,,,36835.78,GirthWeld,,,,,,,,,,,0.7,161.62,,,,1160,65000,,1342,,,,,,,,
10170,40.06,0.344,,,36875.25,GirthWeld,,,,,,,,,,,0.7,162.28,,,,1160,65000,,1342,,,,,,,,
10180,23.15,0.344,,,36915.31,GirthWeld,,,,,,,,,,,0.7,162.14,,,,1160,65000,,1342,,,,,,,,
10190,40.19,0.344,,,36938.46,GirthWeld,,,,,,,,,,,0.7,162,,,,1160,65000,,1342,,,,,,,,
10200,8.54,0.5,,,36978.65,GirthWeld,,,,,,,,,,,0.7,161.25,,,,1160,60000,,1800,,,,,,,,
10200,,,,,36983.14,Bend,,,,,,,,,5.6D -  23° - Left,,,161.08,,,,,,,,,,,,,,,
10210,6.54,0.344,,,36987.19,GirthWeld,,,,,,,,,,,0.7,160.75,,,,1160,65000,,1342,,,,,,,,
10220,38.07,0.344,,,36993.73,GirthWeld,,,,,,,,,,,0.7,160.22,,,,1160,65000,,1342,,,,,,,,
10220,,,,,36994.95,AGM,,,,,,,,,AGM#14 34' U/S OF PAVED RD/ AT PLM,,,160.12,,,,,,,,,,,,,,,
10230,40.06,0.344,,,37031.8,GirthWeld,,,,,,,,,,,0.7,157.41,,,,1160,65000,,1342,,,,,,,,
10240,40.03,0.344,,,37071.86,GirthWeld,,,,,,,,,,,0.7,154.69,,,,1160,65000,,1342,,,,,,,,
10250,39.71,0.344,,,37111.88,GirthWeld,,,,,,,,,,,0.7,152.14,,,,1160,65000,,1342,,,,,,,,
10260,7.07,0.344,,,37151.6,GirthWeld,,,,,,,,,,,0.7,149.34,,,,1160,65000,,1342,,,,,,,,
10270,7.87,0.5,,,37158.67,GirthWeld,,,,,,,,,,,0.7,148.77,,,,1160,60000,,1800,,,,,,,,
10270,,,,,37162.83,Bend,,,,,,,,,5.3D -  20° - Right,,,148.34,,,,,,,,,,,,,,,
10280,11.74,0.344,,,37166.54,GirthWeld,,,,,,,,,,,0.7,147.73,,,,1160,65000,,1342,,,,,,,,
10290,34.06,0.344,,,37178.28,GirthWeld,,,,,,,,,,,0.7,145.65,,,,1160,65000,,1342,,,,,,,,
10300,40.14,0.344,,,37212.34,GirthWeld,,,,,,,,,,,1,140.16,,,,1160,65000,,1342,,,,,,,,
10310,40.14,0.344,,,37252.48,GirthWeld,,,,,,,,,,,0.7,137.33,,,,1160,65000,,1342,,,,,,,,
10320,40.16,0.344,,,37292.62,GirthWeld,,,,,,,,,,,0.7,136.62,,,,1160,65000,,1342,,,,,,,,
10330,40.12,0.344,,,37332.78,GirthWeld,,,,,,,,,,,0.7,139.47,,,,1160,65000,,1342,,,,,,,,
10340,29.1,0.344,,,37372.91,GirthWeld,,,,,,,,,,,0.7,148.93,,,,1160,65000,,1342,,,,,,,,
10350,27.69,0.344,,,37402.01,GirthWeld,,,,,,,,,,,0.7,156.72,,,,1160,65000,,1342,,,,,,,,
10360,40,0.344,,,37429.69,GirthWeld,,,,,,,,,,,0.7,162.92,,,,1160,65000,,1342,,,,,,,,
10370,33.99,0.344,,,37469.69,GirthWeld,,,,,,,,,,,0.7,167.3,,,,1160,65000,,1342,,,,,,,,
10380,8.66,0.5,,,37503.68,GirthWeld,,,,,,,,,,,0.7,169.85,,,,1160,60000,,1800,,,,,,,,
10380,,,,,37508.25,Bend,,,,,,,,,5.7D -  23° - Right,,,170.17,,,,,,,,,,,,,,,
10390,40.63,0.344,,,37512.34,GirthWeld,,,,,,,,,,,0.7,170.5,,,,1160,65000,,1342,,,,,,,,
10400,39.55,0.344,,,37552.97,GirthWeld,,,,,,,,,,,0.7,176.19,,,,1160,65000,,1342,,,,,,,,
10410,36.99,0.344,,,37592.52,GirthWeld,,,,,,,,,,,0.7,184.99,,,,1160,65000,,1342,,,,,,,,
10420,11.02,0.5,,,37629.51,GirthWeld,,,,,,,,,,,0.7,193.01,,,,1160,60000,,1800,,,,,,,,
10420,,,,,37635.21,Bend,,,,,,,,,5.6D -  35° - Left,,,194.08,,,,,,,,,,,,,,,
10430,8.97,0.344,,,37640.54,GirthWeld,,,,,,,,,,,1,194.55,,,,1160,65000,,1342,,,,,,,,
10440,40.08,0.344,,,37649.5,GirthWeld,,,,,,,,,,,1,195.05,,,,1160,65000,,1342,,,,,,,,
10450,38.23,0.344,,,37689.58,GirthWeld,,,,,,,,,,,0.7,197.38,,,,1160,65000,,1342,,,,,,,,
10460,40.11,0.344,,,37727.81,GirthWeld,,,,,,,,,,,0.7,198.83,,,,1160,65000,,1342,,,,,,,,
10470,40.09,0.344,,,37767.92,GirthWeld,,,,,,,,,,,0.7,200.25,,,,1160,65000,,1342,,,,,,,,
10480,40.11,0.344,,,37808.01,GirthWeld,,,,,,,,,,,1,201.56,,,,1160,65000,,1342,,,,,,,,
10490,40.07,0.344,,,37848.13,GirthWeld,,,,,,,,,,,1,203.09,,,,1160,65000,,1342,,,,,,,,
10500,40.2,0.344,,,37888.2,GirthWeld,,,,,,,,,,,1,206.17,,,,1160,65000,,1342,,,,,,,,
10510,40.01,0.344,,,37928.4,GirthWeld,,,,,,,,,,1,0.7,212.45,,,,1160,65000,,1342,,,,,,,,
10510,,0.344,-22.91,17.1,37951.31,metal loss manufacturing,N/A,10,0.034,,,0.32,0.59,9:58,,,0.7,216.56,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
10520,38.24,0.344,,,37968.41,GirthWeld,,,,,,,,,,,0.7,219.26,,,,1160,65000,,1342,,,,,,,,
10530,39.56,0.344,,,38006.65,GirthWeld,,,,,,,,,,,0.7,223.9,,,,1160,65000,,1342,,,,,,,,
10540,40.04,0.344,,,38046.21,GirthWeld,,,,,,,,,,1,0.7,226.72,,,,1160,65000,,1342,,,,,,,,
10540,,0.344,-0.5,39.54,38046.71,metal loss,External,18,0.062,,,1.26,2.48,2:05,,,0.7,226.75,,MFL-A/XT,,1160,65000,,1342,1462.43,2030.55,,,,,,
10550,40.04,0.344,,,38086.25,GirthWeld,,,,,,,,,,,0.7,228.66,,,,1160,65000,,1342,,,,,,,,
10560,40.07,0.344,,,38126.28,GirthWeld,,,,,,,,,,,1,230.68,,,,1160,65000,,1342,,,,,,,,
10570,40.1,0.344,,,38166.35,GirthWeld,,,,,,,,,,,0.7,232.82,,,,1160,65000,,1342,,,,,,,,
10580,40.03,0.344,,,38206.46,GirthWeld,,,,,,,,,,,0.7,235.03,,,,1160,65000,,1342,,,,,,,,
10590,40.04,0.344,,,38246.49,GirthWeld,,,,,,,,,,,0.7,236.97,,,,1160,65000,,1342,,,,,,,,
10600,8.41,0.344,,,38286.53,GirthWeld,,,,,,,,,,,0.7,238.14,,,,1160,65000,,1342,,,,,,,,
10610,40.09,0.344,,,38294.94,GirthWeld,,,,,,,,,,,0.7,238.35,,,,1160,65000,,1342,,,,,,,,
10620,40.11,0.344,,,38335.03,GirthWeld,,,,,,,,,,1,0.7,239.92,,,,1160,65000,,1342,,,,,,,,
10620,,0.344,-28.67,11.45,38363.7,metal loss,External,11,0.038,,,2.09,0.59,1:08,,,0.7,242.12,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
10630,35.07,0.344,,,38375.14,GirthWeld,,,,,,,,,,,1,243.08,,,,1160,65000,,1342,,,,,,,,
10640,40.07,0.344,,,38410.21,GirthWeld,,,,,,,,,,3,0.7,244.67,,,,1160,65000,,1342,,,,,,,,
10640,,0.344,-34.19,5.88,38444.41,metal loss,External,18,0.062,,,2.17,1.5,9:40,,,0.7,245.83,,MFL-A/XT,,1160,65000,,1342,1442.73,2003.19,,,,,,
10640,,0.344,-34.21,5.86,38444.42,metal loss,External,11,0.038,,,2.01,0.83,9:11,,,0.7,245.83,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
10640,,0.344,-34.22,5.86,38444.43,metal loss,External,13,0.045,,,1.73,0.83,10:06,,,0.7,245.83,,MFL-A/XT,,1160,65000,,1342,1459.67,2026.72,,,,,,
10650,40.07,0.344,,,38450.29,GirthWeld,,,,,,,,,,,1,245.94,,,,1160,65000,,1342,,,,,,,,
10660,40.11,0.344,,,38490.36,GirthWeld,,,,,,,,,,,0.7,246.24,,,,1160,65000,,1342,,,,,,,,
10670,39.55,0.344,,,38530.47,GirthWeld,,,,,,,,,,,0.7,247.01,,,,1160,65000,,1342,,,,,,,,
10680,40.05,0.344,,,38570.01,GirthWeld,,,,,,,,,,,0.7,248.53,,,,1160,65000,,1342,,,,,,,,
10690,40.02,0.344,,,38610.06,GirthWeld,,,,,,,,,,,0.7,249.24,,,,1160,65000,,1342,,,,,,,,
10690,,,,,38614.14,AGM,,,,,,,,,AGM#15 AT PLM/ ON FENCE,,,249.22,,,,,,,,,,,,,,,
10700,40.02,0.344,,,38650.08,GirthWeld,,,,,,,,,,,0.7,248.57,,,,1160,65000,,1342,,,,,,,,
10710,40.16,0.344,,,38690.09,GirthWeld,,,,,,,,,,,1,245.77,,,,1160,65000,,1342,,,,,,,,
10720,40.04,0.344,,,38730.26,GirthWeld,,,,,,,,,,,1,237.23,,,,1160,65000,,1342,,,,,,,,
10730,39.95,0.344,,,38770.29,GirthWeld,,,,,,,,,,,0.7,223.89,,,,1160,65000,,1342,,,,,,,,
10740,40.04,0.344,,,38810.24,GirthWeld,,,,,,,,,,,0.7,204.49,,,,1160,65000,,1342,,,,,,,,
10750,40.02,0.344,,,38850.28,GirthWeld,,,,,,,,,,,0.7,179.95,,,,1160,65000,,1342,,,,,,,,
10760,40.03,0.344,,,38890.3,GirthWeld,,,,,,,,,,,0.7,154.45,,,,1160,65000,,1342,,,,,,,,
10770,40.04,0.344,,,38930.33,GirthWeld,,,,,,,,,,,0.7,128.84,,,,1160,65000,,1342,,,,,,,,
10780,40.04,0.344,,,38970.38,GirthWeld,,,,,,,,,,,1,103.61,,,,1160,65000,,1342,,,,,,,,
10790,39.85,0.344,,,39010.42,GirthWeld,,,,,,,,,,,0.7,78.7,,,,1160,65000,,1342,,,,,,,,
10800,7.37,0.344,,,39050.26,GirthWeld,,,,,,,,,,,0.7,56.94,,,,1160,65000,,1342,,,,,,,,
10810,40.03,0.344,,,39057.63,GirthWeld,,,,,,,,,,,1,53.41,,,,1160,65000,,1342,,,,,,,,
